,Image Names,Number of Cracks,Type D00,Type D01,Type D10,Type D11,Type D20,Type D40,Type D43,Type D44,Average Detection Score,Maximum Detection Score,Minimum Detection Score,Average Crack Region Percentage,Maximum Crack Region Percentage,Minimum Crack Region Percentage,Average Size of Cracks,Maximum Size of Cracks,Minimum Size of Cracks
194,4,3,,1,,,,,,2,0.49250000000000005,0.65,0.31,0.2950535714285714,0.41615178571428574,0.0955,,,
195,_3Tlv8bma5DCE0UYfJ3s2g,1,,,,,,,,1,0.74,0.74,0.74,0.28784375,0.28784375,0.28784375,,,
196,_6AK2wG2AMVO5fS8pnsc6Q,1,,,,,,,,1,0.3,0.3,0.3,0.2668,0.2668,0.2668,,,
197,_DoSbh058p8_nPU-EVYkEg,1,,,,,,,,1,0.66,0.66,0.66,0.137465625,0.137465625,0.137465625,,,
198,_6ssyYpD2IGBwSTBb9OTvw,1,,,,,,,,1,0.72,0.72,0.72,0.192228125,0.192228125,0.192228125,,,
199,_9cz5yfIfgU1SHra4v_ePg,1,,,,,,,,1,0.57,0.57,0.57,0.268125,0.268125,0.268125,,,
200,_bRZ8NXAj3B8zdmGk_OjVQ,1,,,,,,,1,,0.35,0.35,0.35,0.2349,0.2349,0.2349,,,
201,_EfprMlAxlQ5FBIs2P2F_w,,,,,,,,,,,,,,,,,,
202,_BSKhYRq-_pD080lh8GjRg,2,,,,,,,,2,0.38666666666666666,0.42,0.32,0.10025833333333334,0.103125,0.098825,,,
203,5,,,,,,,,,,,,,,,,,,
204,43,1,,,,,,,,1,0.89,0.89,0.89,0.14792857142857144,0.14792857142857144,0.14792857142857144,,,
205,41,2,,,,,,,,2,0.4266666666666667,0.47,0.34,0.1808303571428571,0.20544642857142856,0.13159821428571428,,,
206,_byY5y5fwx86AL7THnO8HQ,1,,,,,,,1,,0.31,0.31,0.31,0.2265625,0.2265625,0.2265625,,,
207,_8bwvmEoiGdSftFHY1gqKw,2,,,,,,,,2,0.48666666666666664,0.53,0.4,0.0744625,0.1197,0.05184375,,,
208,_aFEr-1peGhdqo6wdbbxEw,1,,1,,,,,,,0.32,0.32,0.32,0.023175,0.023175,0.023175,,,
209,_avm258jS9Z9VwA1eQjN7w,1,,,,,,,,1,0.74,0.74,0.74,0.2396875,0.2396875,0.2396875,,,
210,_AZhPLP0V7x5n2lz6ZdhJQ,,,,,,,,,,,,,,,,,,
211,_C9akFSV04d_xJj6ObyBYg,2,,,,,,,,2,0.5,0.6,0.3,0.0661,0.0817625,0.034775,,,
212,_EKZnp_W2W7ioWgzBqD4pw,2,,,,,,,,2,0.6733333333333333,0.73,0.56,0.17229166666666665,0.2636,0.1266375,,,
213,_37UK5PuDTDbA-PkdPyoMg,1,,1,,,,,,,0.48,0.48,0.48,0.0243,0.0243,0.0243,,,
214,_dI4RL1ov3j13GrSs1-Puw,,,,,,,,,,,,,,,,,,
215,_9el5RielUDiVFnLwaSiHQ,1,,,,,,,,1,0.69,0.69,0.69,0.28208125,0.28208125,0.28208125,,,
216,40,,,,,,,,,,,,,,,,,,
217,2,,,,,,,,,,,,,,,,,,
218,50,,,,,,,,,,,,,,,,,,
219,_BTJ1d_PKVYSsUSYWV4ljA,1,,,,,,,,1,0.95,0.95,0.95,0.19214375,0.19214375,0.19214375,,,
220,44,1,,,,,,,,1,0.4,0.4,0.4,0.08426785714285714,0.08426785714285714,0.08426785714285714,,,
221,_An3c_m4EWcBlhk4lhSnFg,2,,,,,,,,2,0.5,0.6,0.3,0.2511083333333333,0.2838,0.185725,,,
222,_4kqUfEnkfHQmhT8FOt0jA,,,,,,,,,,,,,,,,,,
223,_Bb3T_hrp7s3EGZLZJ9HeA,1,,,,,,,,1,0.72,0.72,0.72,0.197859375,0.197859375,0.197859375,,,
224,_CmLBX0q5nRmYszjgLImaw,1,,,,,,,,1,0.63,0.63,0.63,0.03809375,0.03809375,0.03809375,,,
225,_AwlAYEKDjzQoNsV9hyfyQ,1,,,,,,,,1,0.76,0.76,0.76,0.242815625,0.242815625,0.242815625,,,
226,_aIq4LjFYeH5jbFbI1VSAw,,,,,,,,,,,,,,,,,,
227,_EEUPzoohg710v6TgYQBjg,1,,1,,,,,,,0.35,0.35,0.35,0.023603125,0.023603125,0.023603125,,,
228,_46_mkTdVUpsGgh7qEgfOg,1,,,,,,,,1,0.57,0.57,0.57,0.1989,0.1989,0.1989,,,
229,45,,,,,,,,,,,,,,,,,,
230,3,,,,,,,,,,,,,,,,,,
231,51,,,,,,,,,,,,,,,,,,
232,_7N91YB43OeAF87OxidqPg,2,,,,,,,,2,0.6466666666666666,0.66,0.62,0.2009697916666667,0.2345375,0.133834375,,,
233,47,2,,,,,,,,2,0.51,0.6,0.33,0.09793005952380952,0.12595089285714287,0.08391964285714286,,,
234,1,,,,,,,,,,,,,,,,,,
235,_0QQAlEap-XGt3sTTLJbUQ,1,,,,,,,,1,0.69,0.69,0.69,0.0921875,0.0921875,0.0921875,,,
236,_6whR4fFYDLa7XHEm1wQ6w,1,,,,,,,,1,0.37,0.37,0.37,0.269890625,0.269890625,0.269890625,,,
237,_7RpJIrhd_xjJLno1Lr_Sg,1,,,,,,,,1,0.79,0.79,0.79,0.323234375,0.323234375,0.323234375,,,
238,_5fIrKZGEDZRFufEpBv9-g,1,,,,,,,,1,0.67,0.67,0.67,0.287734375,0.287734375,0.287734375,,,
239,_b3bpGsOONEZjiJ6XWHxNA,1,,,,,,,,1,0.36,0.36,0.36,0.2615625,0.2615625,0.2615625,,,
240,_29pZndjmcp7fvTO_1lszw,1,,,,,,,,1,0.46,0.46,0.46,0.18718125,0.18718125,0.18718125,,,
241,_7D_Dt_VlUaM7RpNjK-scw,2,,,,,,,,2,0.6766666666666667,0.79,0.45,0.23192500000000002,0.2988,0.098175,,,
242,_EfOB-IDjavYu7I5Ro-rWA,1,,,,,,,,1,0.42,0.42,0.42,0.2538,0.2538,0.2538,,,
243,_4SCx6Y0esVqbUySt85nYQ,,,,,,,,,,,,,,,,,,
244,_ALKWMqSEjXKuOLGB_dSkA,2,,,,,,,,2,0.7366666666666667,0.83,0.55,0.3684125,0.428578125,0.24808125,,,
245,52,3,,,,,,,,3,0.35000000000000003,0.39,0.3,0.11736049107142857,0.14685267857142856,0.05058035714285714,,,
246,_CTFO0AICxdr5JOQo4deCw,1,,,,,,,,1,0.35,0.35,0.35,0.09178125,0.09178125,0.09178125,,,
247,0,,,,,,,,,,,,,,,,,,
248,46,1,,,,,,,,1,0.88,0.88,0.88,0.13169642857142858,0.13169642857142858,0.13169642857142858,,,
